playername,playerid,playerage
Shkodran Mustafi,80921,17-04-1992
Toni Kroos,31772,04-01-1990
Daniel Brosinski,31814,17-07-1988
Adrien Thomasson,113747,10-12-1993
Tomás Rincón,31991,13-01-1988
Granit Xhaka,89401,27-09-1992
Ander Capa,130377,08-02-1992
Alexandre Lacazette,73078,28-05-1991
Gerard Moreno,97659,07-04-1992
Roberto Rosales,40346,20-11-1988
N'Golo Kanté,114075,29-03-1991
Raheem Sterling,97692,08-12-1994
Paul Pogba,97752,15-03-1993
Anthony Martial,122366,05-12-1995
Filip Kostic,105995,01-11-1992
Erik Pieters,24148,07-08-1988
Sidnei,40731,23-08-1989
João Moutinho,16161,08-09-1986
Timo Werner,130903,06-03-1996
Wissam Ben Yedder,89946,12-08-1990
